gene_symbol,level,category,n_genes
Cyc1,level_2,Heme-containing proteins,6
Cycs,level_2,Heme-containing proteins,6
Sdhc,level_2,Heme-containing proteins,6
Sdhd,level_2,Heme-containing proteins,6
mt-Co1,level_2,Heme-containing proteins,6
mt-Cytb,level_2,Heme-containing proteins,6
