gene_symbol,level,category,n_genes
Cox7a2l,level_1,Respirasome assembly,4
Higd1a,level_1,Respirasome assembly,4
Higd2a,level_1,Respirasome assembly,4
Rab5if,level_1,Respirasome assembly,4
