gene_symbol,level,category,n_genes
Cyc1,level_2,CIII subunits,10
Uqcr10,level_2,CIII subunits,10
Uqcr11,level_2,CIII subunits,10
Uqcrb,level_2,CIII subunits,10
Uqcrc1,level_2,CIII subunits,10
Uqcrc2,level_2,CIII subunits,10
Uqcrfs1,level_2,CIII subunits,10
Uqcrh,level_2,CIII subunits,10
Uqcrq,level_2,CIII subunits,10
mt-Cytb,level_2,CIII subunits,10
