gene_symbol,level,category,n_genes
Ndufs1,level_2,Fe-S-containing proteins,9
Ndufs2,level_2,Fe-S-containing proteins,9
Ndufs7,level_2,Fe-S-containing proteins,9
Ndufs8,level_2,Fe-S-containing proteins,9
Ndufv1,level_2,Fe-S-containing proteins,9
Ndufv2,level_2,Fe-S-containing proteins,9
Nubpl,level_2,Fe-S-containing proteins,9
Sdhb,level_2,Fe-S-containing proteins,9
Uqcrfs1,level_2,Fe-S-containing proteins,9
