gene_symbol,go_id,go_name,relationship
ABCB1A,GO:0051146,striated muscle cell differentiation,is_a
ABCC2,GO:0051146,striated muscle cell differentiation,is_a
ABCG2,GO:0051146,striated muscle cell differentiation,is_a
ACADM,GO:0051146,striated muscle cell differentiation,is_a
AKAP13,GO:0051146,striated muscle cell differentiation,is_a
AKT1,GO:0051146,striated muscle cell differentiation,is_a
ALPK3,GO:0051146,striated muscle cell differentiation,is_a
ARID1A,GO:0051146,striated muscle cell differentiation,is_a
ARRDC2,GO:0051146,striated muscle cell differentiation,is_a
ASB2,GO:0051146,striated muscle cell differentiation,is_a
AVPR1A,GO:0051146,striated muscle cell differentiation,is_a
AW551984,GO:0051146,striated muscle cell differentiation,is_a
B4GALNT2,GO:0051146,striated muscle cell differentiation,is_a
BARX2,GO:0051146,striated muscle cell differentiation,is_a
BCL9,GO:0051146,striated muscle cell differentiation,is_a
BMP2,GO:0051146,striated muscle cell differentiation,is_a
BMP4,GO:0051146,striated muscle cell differentiation,is_a
BNIP2,GO:0051146,striated muscle cell differentiation,is_a
CACYBP,GO:0051146,striated muscle cell differentiation,is_a
CALR,GO:0051146,striated muscle cell differentiation,is_a
CASP3,GO:0051146,striated muscle cell differentiation,is_a
CASP7,GO:0051146,striated muscle cell differentiation,is_a
CAV3,GO:0051146,striated muscle cell differentiation,is_a
CBY1,GO:0051146,striated muscle cell differentiation,is_a
CDH2,GO:0051146,striated muscle cell differentiation,is_a
CDON,GO:0051146,striated muscle cell differentiation,is_a
CEFIP,GO:0051146,striated muscle cell differentiation,is_a
CHUK,GO:0051146,striated muscle cell differentiation,is_a
COL6A1,GO:0051146,striated muscle cell differentiation,is_a
CRIPTO,GO:0051146,striated muscle cell differentiation,is_a
CTCF,GO:0051146,striated muscle cell differentiation,is_a
FKRP,GO:0051146,striated muscle cell differentiation,is_a
FKTN,GO:0051146,striated muscle cell differentiation,is_a
FOXP1,GO:0051146,striated muscle cell differentiation,is_a
GATA4,GO:0051146,striated muscle cell differentiation,is_a
GATA6,GO:0051146,striated muscle cell differentiation,is_a
GPX1,GO:0051146,striated muscle cell differentiation,is_a
GREB1L,GO:0051146,striated muscle cell differentiation,is_a
GREM1,GO:0051146,striated muscle cell differentiation,is_a
GSK3B,GO:0051146,striated muscle cell differentiation,is_a
HACD1,GO:0051146,striated muscle cell differentiation,is_a
HAND2,GO:0051146,striated muscle cell differentiation,is_a
IFT20,GO:0051146,striated muscle cell differentiation,is_a
IFT88,GO:0051146,striated muscle cell differentiation,is_a
IGF1,GO:0051146,striated muscle cell differentiation,is_a
IGF2,GO:0051146,striated muscle cell differentiation,is_a
IGFBP5,GO:0051146,striated muscle cell differentiation,is_a
IGFN1,GO:0051146,striated muscle cell differentiation,is_a
INS2,GO:0051146,striated muscle cell differentiation,is_a
IRX3,GO:0051146,striated muscle cell differentiation,is_a
ITGB1,GO:0051146,striated muscle cell differentiation,is_a
KCNJ8,GO:0051146,striated muscle cell differentiation,is_a
KDM6B,GO:0051146,striated muscle cell differentiation,is_a
KLF5,GO:0051146,striated muscle cell differentiation,is_a
KLHL40,GO:0051146,striated muscle cell differentiation,is_a
KRAS,GO:0051146,striated muscle cell differentiation,is_a
LARGE1,GO:0051146,striated muscle cell differentiation,is_a
MAPK14,GO:0051146,striated muscle cell differentiation,is_a
MEF2C,GO:0051146,striated muscle cell differentiation,is_a
MESP1,GO:0051146,striated muscle cell differentiation,is_a
MET,GO:0051146,striated muscle cell differentiation,is_a
MTLN,GO:0051146,striated muscle cell differentiation,is_a
MYLK2,GO:0051146,striated muscle cell differentiation,is_a
MYOCD,GO:0051146,striated muscle cell differentiation,is_a
MYOD1,GO:0051146,striated muscle cell differentiation,is_a
MYOG,GO:0051146,striated muscle cell differentiation,is_a
NFATC3,GO:0051146,striated muscle cell differentiation,is_a
NKX2-5,GO:0051146,striated muscle cell differentiation,is_a
NKX2-6,GO:0051146,striated muscle cell differentiation,is_a
NOX4,GO:0051146,striated muscle cell differentiation,is_a
NRG1,GO:0051146,striated muscle cell differentiation,is_a
PAX3,GO:0051146,striated muscle cell differentiation,is_a
PITX2,GO:0051146,striated muscle cell differentiation,is_a
PLD3,GO:0051146,striated muscle cell differentiation,is_a
PMP22,GO:0051146,striated muscle cell differentiation,is_a
POPDC1,GO:0051146,striated muscle cell differentiation,is_a
POPDC2,GO:0051146,striated muscle cell differentiation,is_a
POPDC3,GO:0051146,striated muscle cell differentiation,is_a
PPIF,GO:0051146,striated muscle cell differentiation,is_a
RARA,GO:0051146,striated muscle cell differentiation,is_a
RARB,GO:0051146,striated muscle cell differentiation,is_a
RB1,GO:0051146,striated muscle cell differentiation,is_a
RXRA,GO:0051146,striated muscle cell differentiation,is_a
RXRB,GO:0051146,striated muscle cell differentiation,is_a
SHH,GO:0051146,striated muscle cell differentiation,is_a
SHOX2,GO:0051146,striated muscle cell differentiation,is_a
SIK1,GO:0051146,striated muscle cell differentiation,is_a
SIRT6,GO:0051146,striated muscle cell differentiation,is_a
SIX4,GO:0051146,striated muscle cell differentiation,is_a
SKI,GO:0051146,striated muscle cell differentiation,is_a
SLC9A1,GO:0051146,striated muscle cell differentiation,is_a
SORT1,GO:0051146,striated muscle cell differentiation,is_a
SOX6,GO:0051146,striated muscle cell differentiation,is_a
SPAG9,GO:0051146,striated muscle cell differentiation,is_a
STIM1,GO:0051146,striated muscle cell differentiation,is_a
TBX3,GO:0051146,striated muscle cell differentiation,is_a
TBX5,GO:0051146,striated muscle cell differentiation,is_a
TBXT,GO:0051146,striated muscle cell differentiation,is_a
TMEM182,GO:0051146,striated muscle cell differentiation,is_a
TSC1,GO:0051146,striated muscle cell differentiation,is_a
WNT1,GO:0051146,striated muscle cell differentiation,is_a
