gene_symbol,go_id,go_name,relationship
ACTA1,GO:0048741,skeletal muscle fiber development,part_of
ARK2N,GO:0048741,skeletal muscle fiber development,part_of
BIN3,GO:0048741,skeletal muscle fiber development,part_of
CACNA1S,GO:0048741,skeletal muscle fiber development,part_of
CAV2,GO:0048741,skeletal muscle fiber development,part_of
COL6A1,GO:0048741,skeletal muscle fiber development,part_of
DNER,GO:0048741,skeletal muscle fiber development,part_of
GPX1,GO:0048741,skeletal muscle fiber development,part_of
HOMER1,GO:0048741,skeletal muscle fiber development,part_of
KEL,GO:0048741,skeletal muscle fiber development,part_of
KLHL40,GO:0048741,skeletal muscle fiber development,part_of
LARGE1,GO:0048741,skeletal muscle fiber development,part_of
LMOD3,GO:0048741,skeletal muscle fiber development,part_of
MYH4,GO:0048741,skeletal muscle fiber development,part_of
MYOD1,GO:0048741,skeletal muscle fiber development,part_of
MYOG,GO:0048741,skeletal muscle fiber development,part_of
MYORG,GO:0048741,skeletal muscle fiber development,part_of
NFATC3,GO:0048741,skeletal muscle fiber development,part_of
P2RX2,GO:0048741,skeletal muscle fiber development,part_of
PLEC,GO:0048741,skeletal muscle fiber development,part_of
PPP3CA,GO:0048741,skeletal muscle fiber development,part_of
PPP3CB,GO:0048741,skeletal muscle fiber development,part_of
RCAN1,GO:0048741,skeletal muscle fiber development,part_of
RYR1,GO:0048741,skeletal muscle fiber development,part_of
SELENON,GO:0048741,skeletal muscle fiber development,part_of
SKI,GO:0048741,skeletal muscle fiber development,part_of
SMO,GO:0048741,skeletal muscle fiber development,part_of
SPG11,GO:0048741,skeletal muscle fiber development,part_of
STAC3,GO:0048741,skeletal muscle fiber development,part_of
WNT10B,GO:0048741,skeletal muscle fiber development,part_of
XK,GO:0048741,skeletal muscle fiber development,part_of
