Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,Subcategory,GO_Terms,Description
ENSMUSG00000015478,ENSMUSG00000015478,Rnf5,348.3031633,-0.920729218,0.133798036,-6.881485285,5.92e-12,1.86e-10,"11,22744585",down,RNF5,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000015837,ENSMUSG00000015837,Sqstm1,29359.87989,0.90415531,0.199811312,4.525045661,6.04e-06,4.46e-05,"5,219089143",up,SQSTM1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000017221,ENSMUSG00000017221,Psmd3,5721.456524,0.515686628,0.141012064,3.657039063,0.000255146,0.001104583,"3,593212071",up,PSMD3,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000017428,ENSMUSG00000017428,Psmd11,5512.795503,0.896703098,0.179473205,4.996306263,5.84e-07,5.73e-06,"6,233298512",up,PSMD11,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000018217,ENSMUSG00000018217,Pmp22,2355.310943,1.367542429,0.457866135,2.986773482,0.002819385,0.008524304,"2,549845555",up,PMP22,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000019505,ENSMUSG00000019505,Ubb,34174.19435,0.925120274,0.184653071,5.010045428,5.44e-07,5.38e-06,"6,2642639",up,UBB,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000019539,ENSMUSG00000019539,Rcn3,339.12927,-1.185186607,0.213108606,-5.561420669,2.68e-08,3.73e-07,"7,572534482",down,RCN3,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020063,ENSMUSG00000020063,Sirt1,625.3152805,0.720806768,0.126856151,5.682079763,1.33e-08,2.01e-07,"7,875931032",up,SIRT1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020107,ENSMUSG00000020107,Anapc16,1654.549029,0.79304673,0.145191815,5.462062254,4.71e-08,6.11e-07,"7,327315809",up,ANAPC16,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020134,ENSMUSG00000020134,Peli1,974.3720844,0.587805198,0.115313567,5.097450489,3.44e-07,3.62e-06,"6,463115437",up,PELI1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020484,ENSMUSG00000020484,Xbp1,1679.5527,0.559584117,0.134708773,4.154028751,3.27e-05,0.000188444,"4,485887952",up,XBP1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020883,ENSMUSG00000020883,Fbxl20,1166.137788,1.199366217,0.135516756,8.85031674,8.73e-19,9.68e-17,"18,05912877",up,FBXL20,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000020948,ENSMUSG00000020948,Klhl28,257.7320313,-0.736964949,0.162072993,-4.547117529,5.44e-06,4.08e-05,"5,264515828",down,KLHL28,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000021200,ENSMUSG00000021200,Asb2,36431.89369,0.847776186,0.104188368,8.1369562,4.05e-16,2.8e-14,"15,39218131",up,ASB2,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000021466,ENSMUSG00000021466,Ptch1,548.2552303,0.968410367,0.209518217,4.622081941,3.8e-06,3e-05,"5,420321694",up,PTCH1,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000021477,ENSMUSG00000021477,Ctsl,6006.067536,1.781351138,0.291347548,6.11417926,9.71e-10,1.9e-08,"9,012981372",up,CTSL,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000021819,ENSMUSG00000021819,Zswim8,2666.49481,0.872788552,0.156594143,5.57357086,2.5e-08,3.51e-07,"7,602807495",up,ZSWIM8,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022075,ENSMUSG00000022075,Rhobtb2,859.6873065,-0.753052269,0.125779039,-5.987104651,2.14e-09,3.91e-08,"8,670379738",down,RHOBTB2,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022098,ENSMUSG00000022098,Bmp1,756.8581671,-0.641686332,0.132870392,-4.829415509,1.37e-06,1.22e-05,"5,863487431",down,BMP1,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000022124,ENSMUSG00000022124,Fbxl3,3009.388819,0.51477589,0.132957451,3.871734042,0.000108064,0.000528184,"3,966319655",up,FBXL3,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022184,ENSMUSG00000022184,Fbxo4,117.6422407,0.671863738,0.200651123,3.34841754,0.000812745,0.002973569,"3,090045892",up,FBXO4,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022280,ENSMUSG00000022280,Rnf19a,1018.519693,0.828275331,0.139837675,5.923120032,3.16e-09,5.47e-08,"8,500463989",up,RNF19A,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022346,ENSMUSG00000022346,Myc,297.6203608,1.399842197,0.292285796,4.78929259,1.67e-06,1.45e-05,"5,776321627",up,MYC,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000022346,ENSMUSG00000022346,Myc,297.6203608,1.399842197,0.292285796,4.78929259,1.67e-06,1.45e-05,"5,776321627",up,MYC,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022357,ENSMUSG00000022357,Klhl38,3456.111005,1.878229019,0.276293035,6.797960066,1.06e-11,3.17e-10,"10,97424018",up,KLHL38,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000022812,ENSMUSG00000022812,Gsk3b,4078.864217,0.820530967,0.220418337,3.722607566,0.000197176,0.000882611,"3,70514625",up,GSK3B,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000023150,ENSMUSG00000023150,Ivns1abp,12915.06274,0.886335656,0.217523929,4.074658181,4.61e-05,0.000253418,"4,336468846",up,IVNS1ABP,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000023977,ENSMUSG00000023977,Ubr2,4405.363688,0.558465795,0.116557001,4.791353509,1.66e-06,1.44e-05,"5,780782473",up,UBR2,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000024294,ENSMUSG00000024294,Mib1,1018.536398,0.711645784,0.138282943,5.146301966,2.66e-07,2.87e-06,"6,575654795",up,MIB1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000024481,ENSMUSG00000024481,Lvrn,787.0702987,1.919036562,0.197387604,9.722173651,2.43e-22,4.54e-20,"21,61520304",up,LVRN,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000024589,ENSMUSG00000024589,Nedd4l,1503.768223,1.281233064,0.186488319,6.870312681,6.41e-12,1.99e-10,"11,19340403",up,NEDD4L,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000024740,ENSMUSG00000024740,Ddb1,9450.85002,0.509036454,0.106895372,4.762006486,1.92e-06,1.64e-05,"5,717428816",up,DDB1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000024926,ENSMUSG00000024926,Kat5,759.7524518,0.623212961,0.133971274,4.651840205,3.29e-06,2.64e-05,"5,48282262",up,KAT5,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000025139,ENSMUSG00000025139,Tollip,2552.188887,0.770043794,0.171734793,4.483912563,7.33e-06,5.24e-05,"5,134974821",up,TOLLIP,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000025226,ENSMUSG00000025226,Fbxl15,73.95017088,-0.792645481,0.222868074,-3.556568097,0.000375731,0.001542013,"3,425122835",down,FBXL15,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000025893,ENSMUSG00000025893,Kbtbd3,94.03312985,-0.873930976,0.215646832,-4.052602895,5.07e-05,0.000275798,"4,295412532",down,KBTBD3,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000026308,ENSMUSG00000026308,Klhl30,3060.091068,1.006687681,0.18463261,5.452382884,4.97e-08,6.4e-07,"7,3036497",up,KLHL30,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000026353,ENSMUSG00000026353,Ubxn4,3347.64041,0.870483699,0.196805844,4.423058183,9.73e-06,6.72e-05,"5,011826815",up,UBXN4,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000027566,ENSMUSG00000027566,Psma7,2806.913968,0.516545283,0.171488926,3.012120349,0.002594297,0.00795365,"2,585980271",up,PSMA7,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000027630,ENSMUSG00000027630,Tbl1xr1,1555.664699,0.879502295,0.135398087,6.495677417,8.27e-11,2.08e-09,"10,08270141",up,TBL1XR1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000027778,ENSMUSG00000027778,Ift80,119.7561576,-1.263498817,0.173195911,-7.295200057,2.98e-13,1.23e-11,"12,5254696",down,IFT80,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000027820,ENSMUSG00000027820,Mme,424.0758109,0.851657184,0.154663819,5.506505602,3.66e-08,4.92e-07,"7,436487682",up,MME,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000028098,ENSMUSG00000028098,Rnf115,2404.294904,0.520315674,0.119232935,4.363858644,1.28e-05,8.44e-05,"4,89350936",up,RNF115,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028277,ENSMUSG00000028277,Ube2j1,2176.144415,0.589728111,0.102500072,5.75344094,8.74e-09,1.36e-07,"8,058264983",up,UBE2J1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028550,ENSMUSG00000028550,Atg4c,194.8924858,-1.036484362,0.174943709,-5.924673529,3.13e-09,5.43e-08,"8,504568865",down,ATG4C,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000028557,ENSMUSG00000028557,Rnf11,6254.800729,-0.724981397,0.189343559,-3.828920297,0.000128707,0.000613035,"3,89039892",down,RNF11,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028577,ENSMUSG00000028577,Plaa,2232.403941,0.514547856,0.156407995,3.289779765,0.001002658,0.003564939,"2,99884706",up,PLAA,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028834,ENSMUSG00000028834,Trim63,44995.10441,3.738274796,0.26128904,14.30704784,1.98e-46,4.59e-43,"45,70392646",up,TRIM63,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028932,ENSMUSG00000028932,Psmc2,4442.052617,0.523560522,0.152191949,3.440132844,0.000581429,0.002239592,"3,235503517",up,PSMC2,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028954,ENSMUSG00000028954,Nub1,2161.130331,0.745457181,0.148446302,5.021729551,5.12e-07,5.12e-06,"6,290660026",up,NUB1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000028986,ENSMUSG00000028986,Klhl7,2766.083704,0.55358892,0.174631656,3.170037622,0.001524192,0.005080523,"2,816960318",up,KLHL7,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029017,ENSMUSG00000029017,Pmpcb,1915.563539,-0.585794913,0.128842779,-4.54658708,5.45e-06,4.08e-05,"5,263421711",down,PMPCB,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000029110,ENSMUSG00000029110,Rnf4,933.9529131,0.765163053,0.118210208,6.472901649,9.61e-11,2.38e-09,"10,0171025",up,RNF4,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029238,ENSMUSG00000029238,Clock,1133.129074,0.591412241,0.106862664,5.534320582,3.12e-08,4.28e-07,"7,50523745",up,CLOCK,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029312,ENSMUSG00000029312,Klhl8,798.6576185,-0.880589648,0.099502698,-8.849907218,8.76e-19,9.68e-17,"18,05753513",down,KLHL8,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029466,ENSMUSG00000029466,Anapc7,808.0770399,0.660918753,0.131456875,5.02764692,4.97e-07,4.98e-06,"6,304050103",up,ANAPC7,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029512,ENSMUSG00000029512,Ulk1,7775.604838,1.506175519,0.228036487,6.604975984,3.98e-11,1.05e-09,"10,40057351",up,ULK1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000029686,ENSMUSG00000029686,Cul1,4616.457993,0.52591905,0.137711951,3.81897902,0.000134005,0.000634623,"3,872878484",up,CUL1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000030104,ENSMUSG00000030104,Edem1,426.1094511,1.215467552,0.291917729,4.16373324,3.13e-05,0.000182379,"4,504336513",up,EDEM1,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000030530,ENSMUSG00000030530,Furin,3637.697754,0.873905794,0.13411829,6.515932996,7.22e-11,1.85e-09,"10,14122696",up,FURIN,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000030615,ENSMUSG00000030615,Tmem126a,1130.917021,-0.635154279,0.194580575,-3.264222438,0.00109765,0.003853069,"2,959536305",down,TMEM126A,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000030720,ENSMUSG00000030720,Cln3,132.6758707,-0.561810525,0.170588462,-3.293367663,0.000989949,0.003527322,"3,004387042",down,CLN3,protein processing,GO:0016485,Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein.
ENSMUSG00000030779,ENSMUSG00000030779,Rbbp6,1683.583649,0.83763813,0.09207468,9.097377563,9.25e-20,1.33e-17,"19,03367429",up,RBBP6,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000031095,ENSMUSG00000031095,Cul4b,577.4328009,0.663808729,0.18885662,3.514881973,0.000439949,0.001760101,"3,356597201",up,CUL4B,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000031134,ENSMUSG00000031134,Rbmx,826.8749023,0.575490434,0.106857728,5.38557618,7.22e-08,8.98e-07,"7,141384969",up,RBMX,membrane protein proteolysis,GO:0033619,The proteolytic cleavage of a transmembrane protein leading to the release of its intracellular or ecto-domains.
ENSMUSG00000031154,ENSMUSG00000031154,Otud5,997.0076748,0.546912218,0.138796669,3.940384316,8.14e-05,0.000412915,"4,089636172",up,OTUD5,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
ENSMUSG00000031382,ENSMUSG00000031382,Asb11,4819.150269,0.698910029,0.158212599,4.417537112,9.98e-06,6.86e-05,"5,000730519",up,ASB11,proteolysis involved in protein catabolic process,GO:0051603,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
