Subcategory,GO_Terms,Description,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_OR,Enrichment_P,Directional_OR,Directional_P,Enrichment_FDR,Directional_FDR,Enrichment_Sig,Directional_Sig
smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.,43,11,6,5,54.54545454545454,45.45454545454545,0.9969098042524468,0.5618407486754392,0.9627737226277372,1.0,1.0,1.0,ns,ns
striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle.",101,25,14,11,56.00000000000001,44.0,0.95360157769806,0.6189818561809755,1.0214492109357636,1.0,1.0,1.0,ns,ns
