gene_symbol,go_id,go_name,relationship
ACTA1,GO:0055001,muscle cell development,part_of
ACTN1,GO:0055001,muscle cell development,part_of
ACTN2,GO:0055001,muscle cell development,part_of
ACTN3,GO:0055001,muscle cell development,part_of
ACTN4,GO:0055001,muscle cell development,part_of
ADM,GO:0055001,muscle cell development,part_of
AFG3L2,GO:0055001,muscle cell development,part_of
ALPK2,GO:0055001,muscle cell development,part_of
ALPK3,GO:0055001,muscle cell development,part_of
ARK2N,GO:0055001,muscle cell development,part_of
ARPIN,GO:0055001,muscle cell development,part_of
ASB2,GO:0055001,muscle cell development,part_of
ATG5,GO:0055001,muscle cell development,part_of
ATG7,GO:0055001,muscle cell development,part_of
BIN3,GO:0055001,muscle cell development,part_of
BMP10,GO:0055001,muscle cell development,part_of
BMPR1A,GO:0055001,muscle cell development,part_of
CACNA1S,GO:0055001,muscle cell development,part_of
CACNA2D2,GO:0055001,muscle cell development,part_of
CACNB4,GO:0055001,muscle cell development,part_of
CAV2,GO:0055001,muscle cell development,part_of
CAV3,GO:0055001,muscle cell development,part_of
CCNB1,GO:0055001,muscle cell development,part_of
CD22,GO:0055001,muscle cell development,part_of
CDK1,GO:0055001,muscle cell development,part_of
CHRNB1,GO:0055001,muscle cell development,part_of
COL6A1,GO:0055001,muscle cell development,part_of
COMP,GO:0055001,muscle cell development,part_of
CTCF,GO:0055001,muscle cell development,part_of
CXADR,GO:0055001,muscle cell development,part_of
DCAF8,GO:0055001,muscle cell development,part_of
DICER1,GO:0055001,muscle cell development,part_of
DMD,GO:0055001,muscle cell development,part_of
DNER,GO:0055001,muscle cell development,part_of
DYSF,GO:0055001,muscle cell development,part_of
EDNRA,GO:0055001,muscle cell development,part_of
EFEMP2,GO:0055001,muscle cell development,part_of
ENG,GO:0055001,muscle cell development,part_of
FHL2,GO:0055001,muscle cell development,part_of
FLNC,GO:0055001,muscle cell development,part_of
GPX1,GO:0055001,muscle cell development,part_of
HDAC2,GO:0055001,muscle cell development,part_of
HES1,GO:0055001,muscle cell development,part_of
HEY2,GO:0055001,muscle cell development,part_of
HNRNPU,GO:0055001,muscle cell development,part_of
HOMER1,GO:0055001,muscle cell development,part_of
IGF1,GO:0055001,muscle cell development,part_of
ISL1,GO:0055001,muscle cell development,part_of
KDM1A,GO:0055001,muscle cell development,part_of
KEL,GO:0055001,muscle cell development,part_of
KLHL40,GO:0055001,muscle cell development,part_of
LARGE1,GO:0055001,muscle cell development,part_of
LMNA,GO:0055001,muscle cell development,part_of
LMOD3,GO:0055001,muscle cell development,part_of
LOX,GO:0055001,muscle cell development,part_of
LRRC10,GO:0055001,muscle cell development,part_of
LSAMP,GO:0055001,muscle cell development,part_of
MAML1,GO:0055001,muscle cell development,part_of
MEF2A,GO:0055001,muscle cell development,part_of
MEGF10,GO:0055001,muscle cell development,part_of
MET,GO:0055001,muscle cell development,part_of
MTOR,GO:0055001,muscle cell development,part_of
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-208A PRECURSOR,GO:0055001,muscle cell development,part_of
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-208B PRECURSOR,GO:0055001,muscle cell development,part_of
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-351 PRECURSOR,GO:0055001,muscle cell development,part_of
MUS MUSCULUS (HOUSE MOUSE) MICRORNA MMU-MIR-499 PRECURSOR,GO:0055001,muscle cell development,part_of
MYH10,GO:0055001,muscle cell development,part_of
MYH11,GO:0055001,muscle cell development,part_of
MYH4,GO:0055001,muscle cell development,part_of
MYH6,GO:0055001,muscle cell development,part_of
MYL2,GO:0055001,muscle cell development,part_of
MYO18B,GO:0055001,muscle cell development,part_of
MYOD1,GO:0055001,muscle cell development,part_of
MYOF,GO:0055001,muscle cell development,part_of
MYOG,GO:0055001,muscle cell development,part_of
MYORG,GO:0055001,muscle cell development,part_of
NAGLU,GO:0055001,muscle cell development,part_of
NFATC2,GO:0055001,muscle cell development,part_of
NFATC3,GO:0055001,muscle cell development,part_of
NFATC4,GO:0055001,muscle cell development,part_of
NKX2-5,GO:0055001,muscle cell development,part_of
NKX2-6,GO:0055001,muscle cell development,part_of
NOTCH1,GO:0055001,muscle cell development,part_of
P2RX2,GO:0055001,muscle cell development,part_of
PBRM1,GO:0055001,muscle cell development,part_of
PITX2,GO:0055001,muscle cell development,part_of
PLEC,GO:0055001,muscle cell development,part_of
PMP22,GO:0055001,muscle cell development,part_of
POPDC1,GO:0055001,muscle cell development,part_of
POPDC2,GO:0055001,muscle cell development,part_of
PPP3CA,GO:0055001,muscle cell development,part_of
PPP3CB,GO:0055001,muscle cell development,part_of
PRICKLE1,GO:0055001,muscle cell development,part_of
PTCD2,GO:0055001,muscle cell development,part_of
RAMP2,GO:0055001,muscle cell development,part_of
RCAN1,GO:0055001,muscle cell development,part_of
RYR1,GO:0055001,muscle cell development,part_of
SDC1,GO:0055001,muscle cell development,part_of
SELENON,GO:0055001,muscle cell development,part_of
SGCB,GO:0055001,muscle cell development,part_of
SGCD,GO:0055001,muscle cell development,part_of
SHOX2,GO:0055001,muscle cell development,part_of
SKI,GO:0055001,muscle cell development,part_of
SLC8A1,GO:0055001,muscle cell development,part_of
SMAD6,GO:0055001,muscle cell development,part_of
SMO,GO:0055001,muscle cell development,part_of
SMYD3,GO:0055001,muscle cell development,part_of
SPEG,GO:0055001,muscle cell development,part_of
SPG11,GO:0055001,muscle cell development,part_of
STAC3,GO:0055001,muscle cell development,part_of
TBX18,GO:0055001,muscle cell development,part_of
TBX3,GO:0055001,muscle cell development,part_of
TBX5,GO:0055001,muscle cell development,part_of
TCAP,GO:0055001,muscle cell development,part_of
TMEM182,GO:0055001,muscle cell development,part_of
TMTC3,GO:0055001,muscle cell development,part_of
TRIM63,GO:0055001,muscle cell development,part_of
TTN,GO:0055001,muscle cell development,part_of
UCHL1,GO:0055001,muscle cell development,part_of
VEGFA,GO:0055001,muscle cell development,part_of
WFIKKN1,GO:0055001,muscle cell development,part_of
WFIKKN2,GO:0055001,muscle cell development,part_of
WNT10B,GO:0055001,muscle cell development,part_of
XIRP1,GO:0055001,muscle cell development,part_of
XK,GO:0055001,muscle cell development,part_of
ZMPSTE24,GO:0055001,muscle cell development,part_of
