Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,Subcategory,GO_Terms,Description
ENSMUSG00000021868,ENSMUSG00000021868,Ppif,762.1565845,-0.68429358,0.131470134,-5.204935598,1.94e-07,2.19e-06,"6,712055253",down,PPIF,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000022428,ENSMUSG00000022428,Cby1,213.3829365,-1.073868975,0.160014811,-6.711059857,1.93e-11,5.51e-10,"10,71395731",down,CBY1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000022812,ENSMUSG00000022812,Gsk3b,4078.864217,0.820530967,0.220418337,3.722607566,0.000197176,0.000882611,"3,70514625",up,GSK3B,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000023411,ENSMUSG00000023411,Nfatc4,156.4702267,-0.655267375,0.209297703,-3.130791048,0.001743362,0.005686026,"2,758612539",down,NFATC4,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000024042,ENSMUSG00000024042,Sik1,2894.529747,2.504854106,0.313832942,7.98148878,1.45e-15,9.11e-14,"14,83989561",up,SIK1,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000024164,ENSMUSG00000024164,C3,3132.592879,0.874418436,0.231864268,3.771251359,0.000162431,0.000749055,"3,789331206",up,C3,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000024168,ENSMUSG00000024168,Tmem204,316.3558953,-1.385531036,0.22292084,-6.215349963,5.12e-10,1.06e-08,"9,290641956",down,TMEM204,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000026185,ENSMUSG00000026185,Igfbp5,17016.81377,-1.581074269,0.442731967,-3.571177114,0.00035538,0.001466798,"3,449306446",down,IGFBP5,striated muscle cell differentiation,GO:0051146,"The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."
ENSMUSG00000026365,ENSMUSG00000026365,Cfh,940.8610681,1.348745234,0.208365197,6.472987111,9.61e-11,2.38e-09,"10,01734824",up,CFH,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
ENSMUSG00000026836,ENSMUSG00000026836,Acvr1,548.4580979,-0.557236591,0.177281951,-3.143222353,0.001670989,0.005481246,"2,777026527",down,ACVR1,smooth muscle cell differentiation,GO:0051145,The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary.
