gene_symbol,pathway,level,n_genes
Letm1,Calcium cycle,level_2,9
Mcu,Calcium cycle,level_2,9
Mcub,Calcium cycle,level_2,9
Micu1,Calcium cycle,level_2,9
Micu2,Calcium cycle,level_2,9
Micu3,Calcium cycle,level_2,9
Slc25a3,Calcium cycle,level_2,9
Slc8b1,Calcium cycle,level_2,9
Smdt1,Calcium cycle,level_2,9
