gene_symbol,pathway,level,n_genes
Mrps28,Mitochondrial central dogma,level_0,230
Mrps30,Mitochondrial central dogma,level_0,230
Mrps31,Mitochondrial central dogma,level_0,230
Mrps33,Mitochondrial central dogma,level_0,230
Mrps34,Mitochondrial central dogma,level_0,230
Mrps35,Mitochondrial central dogma,level_0,230
Mrps36,Mitochondrial central dogma,level_0,230
Mrps5,Mitochondrial central dogma,level_0,230
Mrps6,Mitochondrial central dogma,level_0,230
Mrps7,Mitochondrial central dogma,level_0,230
Mrps9,Mitochondrial central dogma,level_0,230
Mrrf,Mitochondrial central dogma,level_0,230
Mterf1a,Mitochondrial central dogma,level_0,230
Mterf1b,Mitochondrial central dogma,level_0,230
Mterf2,Mitochondrial central dogma,level_0,230
Mterf3,Mitochondrial central dogma,level_0,230
Mterf4,Mitochondrial central dogma,level_0,230
Mtfmt,Mitochondrial central dogma,level_0,230
Mtg1,Mitochondrial central dogma,level_0,230
Mtg2,Mitochondrial central dogma,level_0,230
Mtif2,Mitochondrial central dogma,level_0,230
Mtif3,Mitochondrial central dogma,level_0,230
Mto1,Mitochondrial central dogma,level_0,230
Mtpap,Mitochondrial central dogma,level_0,230
Mtres1,Mitochondrial central dogma,level_0,230
Mtrf1,Mitochondrial central dogma,level_0,230
Mtrf1l,Mitochondrial central dogma,level_0,230
Mutyh,Mitochondrial central dogma,level_0,230
Myg1,Mitochondrial central dogma,level_0,230
Nars2,Mitochondrial central dogma,level_0,230
Ngrn,Mitochondrial central dogma,level_0,230
Noa1,Mitochondrial central dogma,level_0,230
Nsun2,Mitochondrial central dogma,level_0,230
Nsun3,Mitochondrial central dogma,level_0,230
Nsun4,Mitochondrial central dogma,level_0,230
Ogg1,Mitochondrial central dogma,level_0,230
Osgepl1,Mitochondrial central dogma,level_0,230
Oxa1l,Mitochondrial central dogma,level_0,230
Pars2,Mitochondrial central dogma,level_0,230
Pde12,Mitochondrial central dogma,level_0,230
Pdf,Mitochondrial central dogma,level_0,230
Pif1,Mitochondrial central dogma,level_0,230
Pnpt1,Mitochondrial central dogma,level_0,230
Polb,Mitochondrial central dogma,level_0,230
Poldip2,Mitochondrial central dogma,level_0,230
Polg,Mitochondrial central dogma,level_0,230
Polg2,Mitochondrial central dogma,level_0,230
Polq,Mitochondrial central dogma,level_0,230
Polrmt,Mitochondrial central dogma,level_0,230
Ppa2,Mitochondrial central dogma,level_0,230
Primpol,Mitochondrial central dogma,level_0,230
Prorp,Mitochondrial central dogma,level_0,230
Ptcd1,Mitochondrial central dogma,level_0,230
Ptcd2,Mitochondrial central dogma,level_0,230
Ptcd3,Mitochondrial central dogma,level_0,230
Pus1,Mitochondrial central dogma,level_0,230
Pusl1,Mitochondrial central dogma,level_0,230
Qrsl1,Mitochondrial central dogma,level_0,230
Qtrt1,Mitochondrial central dogma,level_0,230
Rars2,Mitochondrial central dogma,level_0,230
Rbfa,Mitochondrial central dogma,level_0,230
Rcc1l,Mitochondrial central dogma,level_0,230
Recql4,Mitochondrial central dogma,level_0,230
Rexo2,Mitochondrial central dogma,level_0,230
Rmnd1,Mitochondrial central dogma,level_0,230
Rnaseh1,Mitochondrial central dogma,level_0,230
Rpusd3,Mitochondrial central dogma,level_0,230
Rpusd4,Mitochondrial central dogma,level_0,230
Sars2,Mitochondrial central dogma,level_0,230
Slirp,Mitochondrial central dogma,level_0,230
Ssbp1,Mitochondrial central dogma,level_0,230
Supv3l1,Mitochondrial central dogma,level_0,230
Taco1,Mitochondrial central dogma,level_0,230
Tars2,Mitochondrial central dogma,level_0,230
Tbrg4,Mitochondrial central dogma,level_0,230
Tefm,Mitochondrial central dogma,level_0,230
Tfam,Mitochondrial central dogma,level_0,230
Tfb1m,Mitochondrial central dogma,level_0,230
Tfb2m,Mitochondrial central dogma,level_0,230
Thg1l,Mitochondrial central dogma,level_0,230
Timm21,Mitochondrial central dogma,level_0,230
Top1mt,Mitochondrial central dogma,level_0,230
Top3a,Mitochondrial central dogma,level_0,230
Trit1,Mitochondrial central dogma,level_0,230
Trmt1,Mitochondrial central dogma,level_0,230
Trmt10c,Mitochondrial central dogma,level_0,230
Trmt2b,Mitochondrial central dogma,level_0,230
Trmt5,Mitochondrial central dogma,level_0,230
Trmu,Mitochondrial central dogma,level_0,230
Trnt1,Mitochondrial central dogma,level_0,230
Trub2,Mitochondrial central dogma,level_0,230
Tsfm,Mitochondrial central dogma,level_0,230
Tufm,Mitochondrial central dogma,level_0,230
Twnk,Mitochondrial central dogma,level_0,230
Ung,Mitochondrial central dogma,level_0,230
Vars2,Mitochondrial central dogma,level_0,230
Wars2,Mitochondrial central dogma,level_0,230
Yars2,Mitochondrial central dogma,level_0,230
Ybey,Mitochondrial central dogma,level_0,230
Yrdc,Mitochondrial central dogma,level_0,230
