gene_symbol,pathway,level,n_genes
Mrpl12,Transcription,level_2,9
Mterf1a,Transcription,level_2,9
Mterf1b,Transcription,level_2,9
Mtres1,Transcription,level_2,9
Polrmt,Transcription,level_2,9
Tefm,Transcription,level_2,9
Tfam,Transcription,level_2,9
Tfb2m,Transcription,level_2,9
Top1mt,Transcription,level_2,9
