gene_symbol,pathway,level,n_genes
Abat,GABA metabolism,level_2,6
Adhfe1,GABA metabolism,level_2,6
Akr7a5,GABA metabolism,level_2,6
Aldh5a1,GABA metabolism,level_2,6
Aldh9a1,GABA metabolism,level_2,6
Glud1,GABA metabolism,level_2,6
