gene_symbol,pathway,level,n_genes
Fech,Metabolism,level_0,464
Fh1,Metabolism,level_0,464
Fhit,Metabolism,level_0,464
Flad1,Metabolism,level_0,464
Fpgs,Metabolism,level_0,464
Fth1,Metabolism,level_0,464
Ftmt,Metabolism,level_0,464
Fxn,Metabolism,level_0,464
Gatm,Metabolism,level_0,464
Gcat,Metabolism,level_0,464
Gcdh,Metabolism,level_0,464
Gcsh,Metabolism,level_0,464
Gldc,Metabolism,level_0,464
Glrx2,Metabolism,level_0,464
Glrx5,Metabolism,level_0,464
Gls,Metabolism,level_0,464
Gls2,Metabolism,level_0,464
Glud1,Metabolism,level_0,464
Glyat,Metabolism,level_0,464
Glyctk,Metabolism,level_0,464
Gm4952,Metabolism,level_0,464
Gm4984,Metabolism,level_0,464
Got2,Metabolism,level_0,464
Gpam,Metabolism,level_0,464
Gpat2,Metabolism,level_0,464
Gpd2,Metabolism,level_0,464
Gpt2,Metabolism,level_0,464
Gpx1,Metabolism,level_0,464
Gpx4,Metabolism,level_0,464
Grhpr,Metabolism,level_0,464
Grpel1,Metabolism,level_0,464
Grpel2,Metabolism,level_0,464
Gsr,Metabolism,level_0,464
Gstk1,Metabolism,level_0,464
Gstz1,Metabolism,level_0,464
Gtpbp3,Metabolism,level_0,464
Guk1,Metabolism,level_0,464
H2-Ke6,Metabolism,level_0,464
Hadh,Metabolism,level_0,464
Hadha,Metabolism,level_0,464
Hadhb,Metabolism,level_0,464
Hagh,Metabolism,level_0,464
Hao2,Metabolism,level_0,464
Hccs,Metabolism,level_0,464
Hibadh,Metabolism,level_0,464
Hibch,Metabolism,level_0,464
Hint1,Metabolism,level_0,464
Hint2,Metabolism,level_0,464
Hmgcl,Metabolism,level_0,464
Hmgcs2,Metabolism,level_0,464
Hoga1,Metabolism,level_0,464
Hscb,Metabolism,level_0,464
Hsd17b10,Metabolism,level_0,464
Hsd17b4,Metabolism,level_0,464
Hspa9,Metabolism,level_0,464
Htd2,Metabolism,level_0,464
Iba57,Metabolism,level_0,464
Idh2,Metabolism,level_0,464
Idh3a,Metabolism,level_0,464
Idh3b,Metabolism,level_0,464
Idh3g,Metabolism,level_0,464
Idi1,Metabolism,level_0,464
Isca1,Metabolism,level_0,464
Isca2,Metabolism,level_0,464
Iscu,Metabolism,level_0,464
Ivd,Metabolism,level_0,464
Kmo,Metabolism,level_0,464
Kyat3,Metabolism,level_0,464
L2hgdh,Metabolism,level_0,464
Lactb,Metabolism,level_0,464
Ldhal6b,Metabolism,level_0,464
Ldhb,Metabolism,level_0,464
Ldhd,Metabolism,level_0,464
Lias,Metabolism,level_0,464
Lipt1,Metabolism,level_0,464
Lipt2,Metabolism,level_0,464
Lypla1,Metabolism,level_0,464
Lyplal1,Metabolism,level_0,464
Lyrm4,Metabolism,level_0,464
Maoa,Metabolism,level_0,464
Maob,Metabolism,level_0,464
Mcat,Metabolism,level_0,464
Mccc1,Metabolism,level_0,464
Mccc2,Metabolism,level_0,464
Mcee,Metabolism,level_0,464
Mdh2,Metabolism,level_0,464
Me2,Metabolism,level_0,464
Me3,Metabolism,level_0,464
Mecr,Metabolism,level_0,464
Mgst1,Metabolism,level_0,464
Mgst3,Metabolism,level_0,464
Mlycd,Metabolism,level_0,464
Mmaa,Metabolism,level_0,464
Mmab,Metabolism,level_0,464
Mmadhc,Metabolism,level_0,464
Mmut,Metabolism,level_0,464
Mocs1,Metabolism,level_0,464
Mpc1,Metabolism,level_0,464
Mpc2,Metabolism,level_0,464
Mpst,Metabolism,level_0,464
Mrps36,Metabolism,level_0,464
Msra,Metabolism,level_0,464
Msrb2,Metabolism,level_0,464
Msrb3,Metabolism,level_0,464
Mtarc1,Metabolism,level_0,464
Mtarc2,Metabolism,level_0,464
Mtfmt,Metabolism,level_0,464
Mthfd1l,Metabolism,level_0,464
Mthfd2,Metabolism,level_0,464
Mthfd2l,Metabolism,level_0,464
Mthfs,Metabolism,level_0,464
Mthfsl,Metabolism,level_0,464
Mto1,Metabolism,level_0,464
Nadk2,Metabolism,level_0,464
Nags,Metabolism,level_0,464
Nat8l,Metabolism,level_0,464
Naxd,Metabolism,level_0,464
Naxe,Metabolism,level_0,464
Ndufab1,Metabolism,level_0,464
Ndufs1,Metabolism,level_0,464
Ndufs2,Metabolism,level_0,464
Ndufs7,Metabolism,level_0,464
Ndufs8,Metabolism,level_0,464
Ndufv1,Metabolism,level_0,464
Ndufv2,Metabolism,level_0,464
Neu4,Metabolism,level_0,464
Nfs1,Metabolism,level_0,464
Nfu1,Metabolism,level_0,464
Nit1,Metabolism,level_0,464
Nit2,Metabolism,level_0,464
Nme3,Metabolism,level_0,464
Nme4,Metabolism,level_0,464
Nme6,Metabolism,level_0,464
Nmnat3,Metabolism,level_0,464
Nnt,Metabolism,level_0,464
Noct,Metabolism,level_0,464
Nt5dc2,Metabolism,level_0,464
Nt5m,Metabolism,level_0,464
Nthl1,Metabolism,level_0,464
